time;sender_id;receiver_id;SelfOrOther;lEye_lEye.x;lEye_lEye.y;lEye_rEye.x;lEye_rEye.y;rEye_lEye.x;rEye_lEye.y;rEye_rEye.x;rEye_rEye.y;
7.834272;1;0;OtherAtSelf;140.9893;-6.613568;142.7384;-6.617074;160.6666;-7.629373;162.3725;-7.619607;
7.851128;0;1;SelfAtOther;69.21742;-28.25809;71.31073;-28.22288;69.8755;-28.59599;71.92497;-28.56171;
7.851128;1;0;OtherAtSelf;10.48672;-52.90242;12.20994;-52.92728;5.748886;-53.31722;7.427255;-53.34072;
7.867972;0;1;SelfAtOther;70.75404;-29.21437;72.86218;-29.21245;71.40031;-29.62193;73.4652;-29.62;
7.867972;1;0;OtherAtSelf;31.85286;-74.50964;33.6265;-74.51335;9.555944;-76.65222;11.27964;-76.65526;
7.884089;0;1;SelfAtOther;72.58319;-30.49232;74.68519;-30.47764;73.2106;-30.94794;75.27021;-30.93365;
7.884089;1;0;OtherAtSelf;8.575195;-63.94023;10.33765;-63.95004;6.00209;-64.14301;7.722166;-64.15273;
7.900883;0;1;SelfAtOther;74.47493;-31.19201;76.58481;-31.20633;75.1048;-31.70835;77.17257;-31.72219;
7.900883;1;0;OtherAtSelf;7.12003;-58.35475;8.931639;-58.34704;4.660765;-58.45604;6.429591;-58.44861;
7.917854;0;1;SelfAtOther;75.8754;-31.93796;77.98283;-31.94073;76.50058;-32.48596;78.56624;-32.48858;
7.917854;1;0;OtherAtSelf;7.051849;-59.16105;8.850616;-59.16038;4.462439;-59.26759;6.219009;-59.26714;
7.934488;0;1;SelfAtOther;76.44955;-31.80918;78.55667;-31.81206;77.07849;-32.36256;79.14388;-32.36529;
7.934488;1;0;OtherAtSelf;12.39081;-64.43066;14.19034;-64.42983;8.930754;-64.88884;10.6881;-64.88824;
7.951091;0;1;SelfAtOther;76.63439;-32.00602;78.73937;-32.01007;77.2613;-32.56985;79.32407;-32.57373;
7.951091;1;0;OtherAtSelf;13.30634;-65.59128;15.1101;-65.5892;9.605175;-66.06394;11.36651;-66.06207;
7.967721;0;1;SelfAtOther;77.4481;-32.7028;79.55354;-32.70618;78.07465;-33.29585;80.13805;-33.29908;
7.967721;1;0;OtherAtSelf;12.88215;-64.89558;14.68824;-64.89396;9.253471;-65.32011;11.01726;-65.31864;
7.984821;0;1;SelfAtOther;79.21136;-33.87906;81.31784;-33.88094;79.84452;-34.52666;81.90903;-34.52842;
7.984821;1;0;OtherAtSelf;13.05498;-64.84994;14.86373;-64.84933;9.433147;-65.27559;11.19956;-65.27513;
8.002971;0;1;SelfAtOther;80.96903;-34.61676;83.0758;-34.61778;81.61641;-35.30931;83.68137;-35.31023;
8.002971;1;0;OtherAtSelf;13.76708;-65.83784;15.57822;-65.83769;9.920226;-66.22592;11.68916;-66.22592;
8.028693;0;1;SelfAtOther;81.7401;-35.24869;83.84737;-35.24961;82.39361;-35.97789;84.45944;-35.97873;
8.028693;1;0;OtherAtSelf;22.11495;-70.93898;23.93218;-70.9388;16.4587;-71.64422;18.23403;-71.64425;
8.039456;0;1;SelfAtOther;82.47997;-35.46236;84.58887;-35.46521;83.14153;-36.21092;85.20864;-36.21357;
8.039456;1;0;OtherAtSelf;23.6116;-71.54586;25.4344;-71.54433;17.73453;-72.28799;19.51516;-72.28679;
8.052345;0;1;SelfAtOther;82.90638;-36.04351;85.01579;-36.04587;83.57266;-36.82116;85.64061;-36.82333;
8.052345;1;0;OtherAtSelf;23.57566;-71.53522;25.40341;-71.53402;17.70179;-72.27695;19.48759;-72.27608;
8.069383;0;1;SelfAtOther;83.2703;-36.24007;85.37974;-36.24234;83.9412;-37.03173;86.00938;-37.03382;
8.069383;1;0;OtherAtSelf;27.52078;-74.31776;29.352;-74.31655;19.93545;-75.29659;21.72508;-75.29571;
8.084437;0;1;SelfAtOther;83.50919;-36.13115;85.62329;-36.13527;84.18363;-36.92209;86.25644;-36.9259;
8.084437;1;0;OtherAtSelf;28.40591;-74.88296;30.23969;-74.8806;20.77637;-75.84766;22.56842;-75.84597;
8.101962;0;1;SelfAtOther;83.27654;-36.27167;85.39034;-36.27555;83.94759;-37.06741;86.02042;-37.07101;
8.101962;1;0;OtherAtSelf;28.12929;-74.89074;29.96493;-74.88861;20.49012;-75.85175;22.28434;-75.8502;
8.117742;0;1;SelfAtOther;83.47278;-36.24891;85.58647;-36.25276;84.14659;-37.04504;86.2193;-37.04863;
8.117742;1;0;OtherAtSelf;28.16874;-76.2386;30.00482;-76.23639;18.85042;-77.08317;20.64524;-77.0816;
8.135696;0;1;SelfAtOther;83.45966;-36.2486;85.56872;-36.25205;84.13357;-37.04476;86.20175;-37.04801;
8.135696;1;0;OtherAtSelf;26.77773;-76.28948;28.6144;-76.28722;17.885;-77.17583;19.68124;-77.17403;
8.15066;0;1;SelfAtOther;83.45231;-36.24879;85.56081;-36.25209;84.12629;-37.04493;86.19413;-37.04805;
8.15066;1;0;OtherAtSelf;26.50725;-76.30019;28.34387;-76.29803;17.60143;-77.1825;19.39789;-77.18073;
8.167157;0;1;SelfAtOther;83.434;-36.36276;85.54264;-36.36598;84.10763;-37.1636;86.17565;-37.16663;
8.167157;1;0;OtherAtSelf;26.59232;-76.23784;28.42984;-76.23569;17.17181;-77.14469;18.96925;-77.14299;
8.183603;0;1;SelfAtOther;83.44666;-36.38183;85.55528;-36.38507;84.12019;-37.1841;86.18822;-37.18716;
8.183603;1;0;OtherAtSelf;26.08035;-76.38618;27.9186;-76.38409;17.15587;-77.49264;18.95413;-77.49091;
8.200366;0;1;SelfAtOther;83.50062;-36.37424;85.60867;-36.37741;84.17516;-37.17662;86.24284;-37.17961;
8.200366;1;0;OtherAtSelf;26.61631;-76.38728;28.45459;-76.38515;17.02612;-77.29288;18.82471;-77.29114;
8.216859;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17826;-37.17671;86.2459;-37.17967;
8.216859;1;0;OtherAtSelf;26.61771;-76.38668;28.45586;-76.38456;17.02791;-77.29222;18.82637;-77.29052;
8.233711;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17826;-37.17671;86.2459;-37.17967;
8.233711;1;0;OtherAtSelf;25.93831;-76.48917;27.77662;-76.48707;16.3148;-77.44061;18.11344;-77.43891;
8.250335;0;1;SelfAtOther;83.50114;-36.37432;85.6092;-36.37746;84.17572;-37.1767;86.24336;-37.17967;
8.250335;1;0;OtherAtSelf;26.09737;-76.53571;27.93573;-76.53358;16.88616;-77.44038;18.68478;-77.43867;
8.267082;0;1;SelfAtOther;83.50375;-36.37432;85.6118;-36.37746;84.17827;-37.17671;86.2459;-37.17967;
8.267082;1;0;OtherAtSelf;26.09993;-76.53571;27.93824;-76.53361;16.88875;-77.44038;18.6873;-77.43861;
8.283571;0;1;SelfAtOther;83.50375;-36.37432;85.6118;-36.37746;84.17827;-37.17671;86.2459;-37.17967;
8.283571;1;0;OtherAtSelf;26.09995;-76.53568;27.93826;-76.53357;16.88876;-77.44036;18.68731;-77.43867;
8.300413;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17826;-37.17671;86.2459;-37.17968;
8.300413;1;0;OtherAtSelf;26.09998;-76.53574;27.93828;-76.53355;16.88872;-77.44038;18.68728;-77.43867;
8.316921;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17826;-37.17671;86.2459;-37.17967;
8.316921;1;0;OtherAtSelf;26.09993;-76.5357;27.93823;-76.53357;16.88876;-77.44038;18.68731;-77.43867;
8.333529;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17826;-37.17671;86.2459;-37.17967;
8.333529;1;0;OtherAtSelf;26.09993;-76.5357;27.93823;-76.53357;16.88871;-77.44036;18.68727;-77.43864;
8.350227;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17827;-37.17671;86.2459;-37.17967;
8.350227;1;0;OtherAtSelf;26.09992;-76.5357;27.93824;-76.53357;16.88871;-77.44036;18.68727;-77.43863;
8.367772;0;1;SelfAtOther;83.50375;-36.37432;85.61179;-36.37746;84.17827;-37.17671;86.2459;-37.17967;
8.367772;1;0;OtherAtSelf;26.09992;-76.5357;27.93823;-76.53357;16.88873;-77.44036;18.68728;-77.43863;
